No.,Course,Course Name,Credits,Instructor,Room,Days,Start Time,End Time,Max Enrollment,Total Enrollment
,,,,"Seyam, Ahmed",HUB-117 Software Lab,R,3:00:00 PM,4:59:00 PM,22,21
88,NET214Lec1,Network Programming,3,"Ouarnoughi, Hamza",MGT-106,M,9:00:00 AM,10:59:00 AM,20,21
,,,,"Ouarnoughi, Hamza",HUB-115 Networking Lab,T,7:00:00 PM,8:59:00 PM,20,21
89,NET222Lec1,Wireless Networks,3,"Satrya, Gandeva",HUB-115 Networking Lab,T,11:00:00 AM,12:59:00 PM,21,19
,,,,"Satrya, Gandeva",HUB-115 Networking Lab,W,1:00:00 PM,2:59:00 PM,21,19
90,NET320LecC1,Advanced LAN Switching And Routing,3,"Hussein, Ahmed",HUB-115 Networking Lab,T,1:00:00 PM,2:59:00 PM,24,21
,,,,"Hussein, Ahmed",HUB-115 Networking Lab,R,5:00:00 PM,6:59:00 PM,24,21
91,NET403Lec1,Mobile Security,3,"Satrya, Gandeva",MGT-106,T,6:00:00 PM,7:59:00 PM,24,14
,,,,"Seyam, Ahmed",HUB-118 Robotic Lab,R,7:00:00 PM,8:59:00 PM,24,14
92,NET405Lec1,Virtualization And Cloud Computing,3,"Ouarnoughi, Hamza",MGT-106,M,11:00:00 AM,12:59:00 PM,18,18
,,,,"Ouarnoughi, Hamza",HUB-117 Software Lab,T,3:00:00 PM,4:59:00 PM,18,18
93,NET420LecC1,Advanced Network Troubleshooting,3,"Satrya, Gandeva",HUB-117 Software Lab,W,3:00:00 PM,4:59:00 PM,24,7
,,,,"Satrya, Gandeva",HUB-115 Networking Lab,R,10:00:00 AM,11:59:00 AM,24,7
94,NET440PrjCNET,CNET Project 1,2,"Moussa, Sherif",,N\A,12:00:00 AM,12:00:00 AM,10,1
95,NET441PrjCNET,CNET Project 2,2,"Moussa, Sherif",,N\A,12:00:00 AM,12:00:00 AM,5,2
96,SCI101Lec1,Engineering Mechanics,3,"El Khatib, Ziad",MGT-203,T,9:00:00 AM,11:59:00 AM,54,19
97,SCI210Lec1,Modern Physics,3,"Ali, Edriss",HUB-116 Electronic Lab,M,7:00:00 PM,8:59:00 PM,19,18
,,,,"Ali, Edriss",MGT-207,T,1:00:00 PM,2:59:00 PM,19,18
98,SCI210Lec2,Modern Physics,3,"Ali, Edriss",MGT-207,T,1:00:00 PM,2:59:00 PM,19,19
,,,,"Sadek, Zeyad Remah",HUB-116 Electronic Lab,R,3:00:00 PM,4:59:00 PM,19,19
99,SCI220Lec1,Engineering Mechanics,3,"El Khatib, Ziad",MGT-203,T,9:00:00 AM,11:59:00 AM,54,19
100,SWS110Lec1,Programming 1,3,"Yousefi, Adel",HUB-117 Software Lab,T,1:00:00 PM,2:59:00 PM,24,8
,,,,"Garg, Sahil",HUB-114,W,11:00:00 AM,12:59:00 PM,24,8
101,SWS110Lec2,Programming 1,3,"Seyam, Ahmed",HUB-118 Robotic Lab,T,1:00:00 PM,2:59:00 PM,24,24
,,,,"Garg, Sahil",HUB-114,W,11:00:00 AM,12:59:00 PM,24,24
102,SWS211Lec1,System Analysis And Design,3,"Ouarnoughi, Hamza",MGT-207,W,3:00:00 PM,5:59:00 PM,38,19
103,SWS215Lec1,Web Development,3,"Elnaffar, Said Selim",HUB-114,M,1:00:00 PM,2:59:00 PM,22,16
,,,,"Seyam, Ahmed",HUB-115 Networking Lab,T,3:00:00 PM,4:59:00 PM,22,16
104,SWS215Lec2,Web Development,3,"Elnaffar, Said Selim",HUB-114,M,1:00:00 PM,2:59:00 PM,22,20
,,,,"Elnaffar, Said Selim",HUB-117 Software Lab,T,11:00:00 AM,12:59:00 PM,22,20
105,SWS316Lec1,Programming 2,3,"Yousefi, Adel",HUB-117 Software Lab,M,7:00:00 PM,8:59:00 PM,12,11
,,,,"Oguz, Kaya",MGT-204,T,5:00:00 PM,6:59:00 PM,12,11
106,SWS316Lec2,Programming 2,3,"Oguz, Kaya",MGT-204,T,5:00:00 PM,6:59:00 PM,20,17
,,,,"Oguz, Kaya",HUB-118 Robotic Lab,W,11:00:00 AM,12:59:00 PM,20,17
107,SWS405Lec1,Applied Artificial Intelligence,3,"Kolankeh , Arash",HUB-114,M,9:00:00 AM,10:59:00 AM,24,19
,,,,"Kolankeh , Arash",HUB-115 Networking Lab,T,9:00:00 AM,10:59:00 AM,24,19
