No.,Course,Course Name,Credits,Instructor,Room,Days,Start Time,End Time,Max Enrollment,Total Enrollment
,,,,"IP, IP",HUB-119,W,11:00:00 AM,12:59:00 PM,20,1
91,DES341Lec1,Environmental Systems & Design Integration,3,"IP, IP",HUB-121,W,3:00:00 PM,4:59:00 PM,20,8
,,,,"IP, IP",HUB-119,W,5:00:00 PM,6:59:00 PM,20,8
,,,,"IP, IP",HUB-121,W,5:00:00 PM,6:59:00 PM,20,8
92,DES381Lec1,Artificial Intelligence For Design Applications,3,"IP, IP",HUB-119,T,1:00:00 PM,3:59:00 PM,30,0
93,DES400IntARC,Internship,3,"IP, IP",,N\A,12:00:00 AM,12:00:00 AM,10,0
94,DES400IntIND,Internship,3,"IP, IP",,N\A,12:00:00 AM,12:00:00 AM,10,0
95,DMJ220Lec1,Research And Data Analytics For DMJ,3,"IP, IP",MGT-206,M,3:00:00 PM,4:59:00 PM,24,3
,,,,"IP, IP",HUB-119,W,1:00:00 PM,2:59:00 PM,24,3
96,DMJ305Lec1,Graphics For Digital Media & Journalism,3,"IP, IP",HUB-120,T,9:00:00 AM,12:59:00 PM,24,12
,,,,"IP, IP",MGT-104,R,11:00:00 AM,11:59:00 AM,24,12
97,DMP305Lec1,Critical Coding For Communication,3,"IP, IP",HUB-120,M,5:00:00 PM,8:59:00 PM,24,2
,,,,"IP, IP",MGT-107,W,5:00:00 PM,5:59:00 PM,24,2
98,EAP101Lec101,EAP And IELTS Success 1,0,"IP, IP",MGT-207,MF,8:00:00 AM,9:59:00 AM,35,1
,,,,"IP, IP",MGT-207,MF,10:00:00 AM,11:59:00 AM,35,1
,,,,"IP, IP",MGT-207,TWR,8:00:00 AM,9:59:00 AM,35,1
,,,,"IP, IP",MGT-207,TWR,10:00:00 AM,11:59:00 AM,35,1
99,EAP301Lec101,EAP And IELTS Success 3,0,"IP, IP",MGT-206,MTR,8:00:00 AM,9:59:00 AM,30,1
,,,,"IP, IP",MGT-206,MTR,10:00:00 AM,11:59:00 AM,30,1
100,EBU200Lec1,E - Business Fundamentals,3,"IP, IP",MGT-203,W,3:00:00 PM,5:59:00 PM,45,21
101,EBU210Lec1,Introduction To Database Systems,3,"IP, IP",MGT-103,W,1:00:00 AM,2:59:00 PM,24,1
,,,,"IP, IP",General Computer Lab,R,7:00:00 PM,8:59:00 PM,24,1
102,EBU301Lec1,Systems Analysis And Design,3,"IP, IP",MGT-207,T,3:00:00 PM,5:59:00 PM,30,3
103,EBU406Lec1,E - Business Project Management,3,"IP, IP",MGT-205,R,3:00:00 PM,5:59:00 PM,24,8
104,EBU490lec1,Special Topics In E-Business,3,"IP, IP",MGT-205,T,6:00:00 PM,8:59:00 PM,21,4
105,ECO221Lec1,Principles Of Microeconomics,3,"IP, IP",HUB-112,T,3:00:00 PM,5:59:00 PM,45,6
106,ECO221Lec2,Principles Of Microeconomics,3,"IP, IP",MGT-202,M,12:00:00 PM,2:59:00 PM,45,18
107,ECO222Lec1,Principles Of Macroeconomics,3,"IP, IP",MGT-201,W,3:00:00 PM,5:59:00 PM,45,40
108,ECO222Lec2,Principles Of Macroeconomics,3,"IP, IP",MGT-201,T,6:00:00 PM,8:59:00 PM,45,16
109,ENG102Lec1,Digital Logic,3,"IP, IP",HUB-118 Robotic Lab,M,1:00:00 PM,2:59:00 PM,24,7
,,,,"IP, IP",MGT-106,T,1:00:00 PM,2:59:00 PM,24,7
110,ENG315Lec1,Control Systems,3,"IP, IP",MGT-106,W,1:00:00 PM,3:59:00 PM,24,4
111,ENG316Lec1,Internet Of Things And Data Science,3,"IP, IP",HUB-114,M,3:00:00 PM,4:59:00 PM,24,0
,,,,"IP, IP",HUB-117 Software Lab,T,1:00:00 PM,2:59:00 PM,24,0
112,ENG316Lec2,Internet Of Things And Data Science,3,"IP, IP",HUB-114,M,3:00:00 PM,4:59:00 PM,24,0
,,,,"Yousefi, Adel",HUB-118 Robotic Lab,T,11:00:00 AM,12:59:00 PM,24,0
113,ENG317Lec1,Digital Signal Processing,3,"IP, IP",MGT-107,T,6:00:00 PM,8:59:00 PM,24,4
114,ENG400PrjEEEE,Graduation Project-1,2,"IP, IP",,N\A,12:00:00 AM,12:00:00 AM,24,1
115,ENG410Lec1,Professional And Ethical Practice,3,"IP, IP",MGT-103,R,6:00:00 PM,8:59:00 PM,32,8
116,ENT141Lec01,Fundamentals Of Innovation And Entrepreneurship 1,2,"IP, IP",MGT-104,M,5:00:00 PM,6:59:00 PM,50,11
117,ENT141Lec02,Fundamentals Of Innovation And Entrepreneurship 1,2,"IP, IP",MGT-104,W,3:00:00 PM,4:59:00 PM,50,50
118,ENT141Lec03,Fundamentals Of Innovation And Entrepreneurship 1,2,"IP, IP",MGT-104,T,7:00:00 PM,8:59:00 PM,50,8
119,ENT141Lec04,Fundamentals Of Innovation And Entrepreneurship 1,2,"IP, IP",MGT-104,M,11:00:00 AM,12:59:00 PM,50,36
120,ENT141Lec05,Fundamentals Of Innovation And Entrepreneurship 1,2,"IP, IP",MGT-104,R,3:00:00 PM,4:59:00 PM,49,49
121,ENT141Lec06,Fundamentals Of Innovation And Entrepreneurship 1,2,"IP, IP",MGT-104,M,1:00:00 PM,2:59:00 PM,50,51
122,ENT141Lec07,Fundamentals Of Innovation And Entrepreneurship 1,2,"IP, IP",MGT-104,R,9:00:00 AM,10:59:00 AM,50,30
123,ENT142Prj1,Fundamentals Of Innovation And Entrepreneurship 2,1,"IP, IP",Incubator Lab,M,7:00:00 PM,8:59:00 PM,30,5
124,ENT142Prj2,Fundamentals Of Innovation And Entrepreneurship 2,1,"IP, IP",Incubator Lab,W,1:00:00 PM,2:59:00 PM,30,22
125,ENT142Prj3,Fundamentals Of Innovation And Entrepreneurship 2,1,"IP, IP",Incubator Lab,T,3:00:00 PM,4:59:00 PM,30,13
126,ENT142Prj4,Fundamentals Of Innovation And Entrepreneurship 2,1,"IP, IP",Incubator Lab,R,7:00:00 PM,8:59:00 PM,30,5
127,ENT142Prj5,Fundamentals Of Innovation And Entrepreneurship 2,1,"IP, IP",Incubator Lab,W,11:00:00 AM,12:59:00 PM,30,10
128,ENT241Lec1,Entrepreneurship I,2,"IP, IP",MGT-104,W,1:00:00 PM,2:59:00 PM,40,40
129,ENT241Lec2,Entrepreneurship I,2,"IP, IP",MGT-104,T,5:00:00 PM,6:59:00 PM,40,31
130,ENT241Lec3,Entrepreneurship I,2,"IP, IP",MGT-104,M,3:00:00 PM,4:59:00 PM,40,40
131,ENT241Lec4,Entrepreneurship I,2,"IP, IP",MGT-104,R,5:00:00 PM,6:59:00 PM,40,18
132,ENT241Lec5,Entrepreneurship I,2,"IP, IP",MGT-104,W,9:00:00 AM,10:59:00 AM,40,30
133,ENT242Prj1,Entrepreneurship 2,1,"IP, IP",Incubator Lab,R,5:00:00 PM,6:59:00 PM,30,18
134,ENT242Prj2,Entrepreneurship 2,1,"IP, IP",Incubator Lab,T,7:00:00 PM,8:59:00 PM,30,17
135,ENT242Prj3,Entrepreneurship 2,1,"IP, IP",Incubator Lab,W,9:00:00 AM,10:59:00 AM,30,30
136,ENT242Prj4,Entrepreneurship 2,1,"IP, IP",Incubator Lab,M,5:00:00 PM,6:59:00 PM,30,14
137,ENT242Prj5,Entrepreneurship 2,1,"IP, IP",Incubator Lab,R,10:00:00 AM,11:59:00 AM,30,2
138,ENV201Lec1,Principles Of Environmental Sciences,3,"IP, IP",MGT-202,W,12:00:00 PM,2:59:00 PM,45,10
